Company,Model,Processor Type,Generation,RAM,Storage Type,Storage Capacity,Notes,Price (KES)
Lenovo,T480s,Intel Core i7,8th Gen,8GB,SSD*,256GB,,21000
Lenovo,X1 Yoga X360,Intel Core i7,8th Gen,8GB,SSD*,256GB,Touchscreen,28000
Lenovo,X1 Carbon Gen 6,Intel Core i7,8th Gen,8GB,SSD*,256GB,,25000
Lenovo,X1 Carbon X360,Intel Core i7,7th Gen,8GB,SSD*,256GB,Touchscreen,28000
Lenovo,X1 Carbon,Intel Core i7,7th Gen,8GB,SSD*,256GB,,19000
Lenovo,P50,Intel Core i7,6th Gen,8GB,SSD*,256GB,4GB Dedicated Graphics,27000
Lenovo,T450s,Intel Core i7,5th Gen,8GB,SSD*,256GB,,17000
Lenovo,e300,Intel Celeron,4th Gen*,4GB,SSD*,128GB,Boxed/New,12000
Lenovo,X280,Intel Core i5,8th Gen,16GB,SSD*,256GB,Boxed/New,23000
Lenovo,Yoga L13,Intel Core i5,10th Gen,8GB,SSD*,256GB,"Boxed/New, Touchscreen, x360 Convertible",28500
Lenovo,X13,Intel Core i7,10th Gen,16GB,SSD*,256GB,Boxed/New,33000
Lenovo,T490s,Intel Core i5,10th Gen,8GB,SSD*,256GB,Touchscreen,29000
Lenovo,T490s,Intel Core i7,8th Gen,16GB,SSD,512GB,,30000
Lenovo,T460,Intel Core i5,6th Gen,8GB,SSD*,256GB,Touchscreen,19000
Lenovo,X1 Yoga,Intel Core i7,7th Gen,16GB,SSD*,256GB,,29000
Lenovo,X1 Yoga,Intel Core i7,8th Gen,16GB,SSD*,512GB,,35000
Lenovo,IdeaPad 3 14,Unspecified*,11th Gen,8GB,SSD,128GB,,19000
Lenovo,IdeaPad 3 15,Intel Core i3,11th Gen,8GB,SSD,128GB,,18000
Lenovo,X230,Intel Core i5,3rd Gen*,4GB,HDD,320GB,,10000
Lenovo,G560,Intel Core i5,1st Gen*,4GB,HDD,320GB,,9000
HP,HP 250 G7,Intel Core i5,8th Gen,8GB,SSD*,256GB,,26000
HP,HP 640 G5,Intel Core i5,8th Gen,8GB,SSD*,256GB,,20000
HP,HP 450 G6,Intel Core i5,8th Gen,8GB,SSD*,256GB,,22000
HP,HP 840 G3,Intel Core i5,6th Gen,8GB,SSD*,256GB,,21000
HP,HP 840 G5/G6,Intel Core i5,8th Gen,8GB,SSD*,256GB,,25000
HP,HP 840 G7,Intel Core i5,10th Gen,16GB,SSD*,512GB,,30000
HP,HP 840 G8,Intel Core i5,11th Gen,16GB,SSD*,512GB,,34000
HP,HP 840 G10,Intel Core i5,13th Gen,16GB,SSD*,512GB,,45000
HP,HP 840 G11,Intel Core Ultra 5,Core Ultra Series 1*,16GB,SSD*,512GB,,65000
HP,HP 840 G11,Intel Core Ultra 7,Core Ultra Series 1*,16GB,SSD*,512GB,,75000
HP,HP 745 G5,AMD Ryzen,Ryzen 2000 series*,8GB,SSD*,256GB,,28000
HP,HP 845 G7,AMD Ryzen,Ryzen 4000 series*,16GB,SSD*,512GB,,27000
HP,HP 845 G8,AMD Ryzen,Ryzen 5000 series*,16GB,SSD*,512GB,Out of stock,31000
HP,ZBook Firefly 14 G7,Intel Core i5,10th Gen,16GB,SSD*,512GB,,33000
HP,ZBook Firefly 14 G8,Intel Core i5,11th Gen,16GB,SSD*,512GB,,37000
HP,ZBook Firefly 14 G8,Intel Core i7,11th Gen,16GB,SSD*,512GB,,42000
HP,ZBook Firefly 14 G9,Intel Core i7,12th Gen,16GB,SSD*,512GB,4GB Dedicated Graphics,55000
HP,ZBook Firefly 15 G7,Intel Core i7,10th Gen,16GB,SSD*,512GB,4GB Dedicated Graphics,43000
HP,ZBook Firefly 15 G8,Intel Core i7,11th Gen,16GB,SSD*,512GB,4GB Dedicated Graphics,55000
HP,ZBook Firefly 16 G9,Intel Core i7,12th Gen,16GB,SSD*,512GB,4GB Dedicated Graphics,70000
HP,645 G5,AMD Ryzen Pro,Ryzen 3000 series*,8GB,SSD*,256GB,Boxed/New,21000
HP,840 G3,Intel Core i5,6th Gen,8GB,SSD*,256GB,,20500
HP,830 G5/G6,Intel Core i5,8th Gen,8GB,SSD*,256GB,Boxed/New,26000
HP,830 G7,Intel Core i7,10th Gen,16GB,SSD*,256GB,"Boxed/New, Touchscreen",38000
HP,Dragonfly,Intel Core i5,8th Gen,16GB,SSD*,512GB,"Boxed/New, Touchscreen, x360 Convertible",45000
HP,830 G6 x360,Intel Core i5,8th Gen,8GB,SSD*,256GB,Boxed/New,32000
HP,830 G7 x360,Intel Core i7,10th Gen,16GB,SSD*,512GB,Boxed/New,44000
HP,ZBook 14u G6,Intel Core i7,8th Gen,16GB,SSD*,512GB,"Boxed/New, Touchscreen, 4GB Dedicated Graphics",44000
HP,830 G6,Intel Core i7,8th Gen,16GB,SSD*,512GB,,33000
HP,640 G5,Intel Core i5,8th Gen,8GB,SSD*,256GB,,21500
HP,440 G1 x360,Intel Core i7,8th Gen,8GB,SSD*,256GB,,29500
HP,840 G8,Intel Core i5,11th Gen,16GB,SSD*,256GB,,39000
HP,440 G6,Intel Core i5,8th Gen,8GB,SSD*,256GB,,22000
HP,840 G6 Touch,Intel Core i5,8th Gen,8GB,SSD*,256GB,,26000
HP,1030 G7,Intel Core i5,10th Gen,16GB,SSD*,512GB,,42000
HP,1030 G7,Intel Core i7,10th Gen,16GB,SSD*,512GB,,47000
HP,1030 G7,Intel Core i7,10th Gen,32GB,SSD*,512GB,,52000
HP,1030 G8,Intel Core i7,11th Gen,32GB,SSD*,512GB,,58000
HP,Chromebook,Intel Celeron*,N/A*,4GB*,SSD*,16GB eMMC*,,6000
HP,HP 650,Intel Core i5,3rd Gen*,8GB,SSD,256GB,,15000
HP,ProBook 11 G2,Unspecified*,6th Gen,4GB,HDD,500GB,,9000
HP,240 G8,Unspecified*,10th Gen,8GB,SSD,1TB,,22000
HP,250 G5,Intel Core i3,5th Gen,4GB,HDD,500GB,,11000
HP,840 G4,Intel Core i7,7th Gen,8GB,SSD,256GB,,19000
HP,2560p,Intel Core i5,2nd Gen*,4GB,HDD,320GB,,8000
HP,Folio 9470p,Intel Core i5,3rd Gen*,8GB,HDD,500GB,,14000
HP,840 G2,Intel Core i5,5th Gen,8GB,HDD,500GB,,15000
HP,Insyde,Intel Atom*,Unspecified*,2GB,HDD,100GB,,5000
HP,Avtech,Intel Celeron,8th Gen,4GB,HDD,320GB,,12000
HP,EliteBook 2540p,Intel Core i7,1st Gen*,4GB,HDD,128GB,,7000
Dell,Latitude 7420,Intel Core i7,11th Gen,32GB,SSD*,512GB,Touchscreen,45000
Dell,Latitude 7490/7400,Intel Core i5,8th Gen,8GB,SSD*,256GB,,21000
Dell,Latitude 7490/7400,Intel Core i7,8th Gen,8GB,SSD*,256GB,,24000
Dell,Latitude 5590/5500,Intel Core i7,8th Gen,8GB,SSD*,256GB,,27000
Dell,XPS 15”,Intel Core i5,7th Gen,8GB,SSD*,256GB,4GB Dedicated Graphics,27000
Dell,XPS 13”,Intel Core i5,7th Gen,8GB,SSD*,256GB,,19000
Dell,Latitude 6320,Intel Core i5,2nd Gen*,4GB,HDD,320GB,,9000
Dell,Latitude E6430u,Intel Core i5,3rd Gen*,8GB,SSD,256GB,,14000
Dell,Inspiron 5520,Intel Core i5,3rd Gen*,4GB,HDD,500GB,,10000
Dell,Latitude 6320,Intel Core i5,2nd Gen*,8GB,HDD,500GB,,12000
Acer,Spin,Intel Core i5,8th Gen,8GB,SSD*,256GB,,24000
Acer,Aspire 5349,Intel Core i5,2nd Gen*,4GB,HDD,320GB,,9000
NEC,NEC Laptop x360,Intel Core i5,6th Gen,4GB,SSD,128GB,,12000
Toshiba,Toshiba Detachable,Intel Atom*,Unspecified*,4GB,HDD,500GB,Touchscreen,9000
Sony,Sony Laptop,Intel Core i5*,Unspecified*,4GB*,SSD*,500GB*,,7000
Samsung,Samsung Laptop,Intel Pentium,Legacy (pre-Core series)*,2GB,HDD,320GB,,5000
HP,Zbook Firefly 14 G7,Intel Core i7,10th Gen,32GB,SSD*,512GB,"Touchscreen, 4GB Dedicated Graphics",58500
HP,1030 G4,Intel Core i5,8th Gen,8GB,SSD*,256GB,"Touchscreen, x360 Convertible",33000
HP,830 G8,Intel Core i7,11th Gen,16GB,SSD*,512GB,Touchscreen,44000
HP,830 G8,Intel Core i5,11th Gen,8GB,SSD*,256GB,Touchscreen,32000
HP,830G7,Intel Core i7,10th Gen,16GB,SSD*,512GB,Touchscreen,40000
HP,830 G6,Intel Core i7,8th Gen,16GB,SSD*,512GB,Touchscreen,34500
HP,830G7,Intel Core i5,10th Gen,8GB,SSD*,256GB,,27000
HP,840 G8,Intel Core i5,11th Gen,8GB,SSD*,256GB,Touchscreen,33000
HP,840 G6,Intel Core i7,8th Gen,16GB,SSD*,512GB,Touchscreen,34000
HP,840 G5,Intel Core i5,8th Gen,8GB,SSD*,256GB,,24000
HP,840 G6,Intel Core i5,8th Gen,8GB,SSD*,256GB,,24000
HP,840 G5,Intel Core i7,7th Gen,8GB,SSD*,256GB,,25500
HP,745 G6,AMD Ryzen 5,Ryzen 3000 series*,8GB,SSD*,256GB,2GB Dedicated Graphics,25500
HP,840 G4,Intel Core i5,7th Gen,8GB,SSD*,256GB,,20500
HP,840G3,Intel Core i5,6th Gen*,Unspecified*,SSD*,256GB,Touchscreen,19500
HP,840 G3,Intel Core i5,6th Gen*,8GB,SSD*,256GB,Touchscreen,22000
HP,840G3,Intel Core i7,6th Gen*,8GB,SSD*,256GB,,21500
HP,830 G5,Intel Core i7,8th Gen*,16GB,SSD*,512GB,Touchscreen,35000
HP,830 G5,Intel Core i5,8th Gen,16GB,SSD*,512GB,,30000
HP,830G5,Intel Core i5,8th Gen,8GB,SSD*,256GB,Touchscreen,24000
HP,830 G6,Intel Core i5,8th Gen,8GB,SSD*,256GB,,24000
